clade_name	EFP1	EFP2	EFP3	EFP4	EK1	EK2	EK3	EK4	EHH1	EHH2	EHH3	EHH4	BM1	BM2	BM3	BM4	GS1	GS2	GS3	GS4	GN1
OFGB50511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00107	0.02079	0.00159	0.0	0.01163	0.13137	0.11224	0.08728	0.0
Methanobacteriales	0.0	0.0	0.00291	0.0	0.0	0.0	0.01033	0.29637	0.0	0.0	0.0	0.0	0.00107	0.03255	0.00938	0.0	0.0	0.0	0.0	0.0	0.0
OFGB77455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00103	0.0	0.0599	0.0	0.01421	0.00852	0.00257	0.0	0.0
Clostridia_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00093	0.28474	0.09712	0.67921	0.0	0.0	1.49597	0.6563	0.0
Moraxellales	0.35588	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14645	0.0	0.0	0.0	0.00078	0.0	0.00794	0.00134	0.0	0.0	0.0	0.0	8.06619
OFGB32310	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00077	0.0	0.00584	0.0	0.01867	0.34278	0.09109	0.20887	0.0
OFGB78040	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00058	0.01122	0.0	0.0	0.0	0.0	0.1467	0.03283	0.0
OFGB89425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00049	0.01789	0.00561	0.00573	0.01829	0.05913	0.00822	0.01012	0.0
OFGB8253	0.0	0.0	0.0	0.0	0.87774	3.1129	0.60433	0.53968	0.0	0.0	0.0	0.0	0.00029	0.0	0.00023	0.00223	0.0	0.0	0.0	0.0	0.0
Selenomonadales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00082	0.0	0.0	0.0	0.0	0.00016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OFGB24208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19836	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OFGB77777	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05173	0.0	0.0	1.60097	0.0	0.0	0.0	0.0
OFGB9457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02658	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OFGB5983	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01691	0.0	0.01187	0.0	0.0	0.0	0.0	0.0
OFGB8214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01346	0.0	0.0	0.0	0.0	0.0	0.0	0.0
