Contig	EFP1	EFP2	EFP3	EFP4	EK1	EK2	EK3	EK4	EHH1	EHH2	EHH3	EHH4	BM1	BM2	BM3	BM4	GS1	GS2	GS3	GS4	GN1
BM1_k141_102979	0	0	0	0	0	0	0	0	0	0	0	0	21	3	5	2	0	0	0	0	0
BM1_k141_1029805	0	0	0	0	0	0	0	0	0	0	0	0	829	0	866	1277	0	0	0	0	0
BM1_k141_1029881	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0
BM1_k141_1029903	0	0	0	0	0	0	0	0	0	0	0	0	47	9	36	15	0	0	0	0	0
BM1_k141_102995	0	0	0	0	0	0	0	0	0	0	0	0	4	1	2	1	0	0	0	0	0
BM1_k141_1030081	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0
BM1_k141_1030122	0	0	0	0	0	0	0	0	0	0	0	0	31	15	3	0	0	0	0	0	0
BM1_k141_1030187	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0	0
BM1_k141_1030273	0	0	0	0	0	0	0	0	0	0	0	0	6	6	1	0	0	0	0	0	0
BM1_k141_1030495	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0
BM1_k141_10305	0	0	0	0	0	0	0	0	0	0	0	0	18	10	0	0	0	0	0	0	0
BM1_k141_1030544	0	0	0	0	0	0	0	0	0	0	0	0	6	2	14	0	0	0	0	0	0
BM1_k141_1030548	0	0	0	0	0	0	0	0	0	0	0	0	52	25	6	11	0	0	0	0	0
BM1_k141_1030691	0	0	0	0	0	0	0	0	0	0	0	0	26	0	8	0	0	0	0	0	0
BM1_k141_1030878	0	0	0	0	0	0	0	0	0	0	0	0	17	2	4	0	0	0	0	0	0
BM1_k141_1031079	0	0	0	0	0	0	0	0	0	0	0	0	60	96	0	0	0	0	0	0	0
BM1_k141_1031294	0	0	0	0	0	0	0	0	0	0	0	0	15	2	7	4	0	0	0	0	0
BM1_k141_1031298	0	0	0	0	0	0	0	0	0	0	0	0	139	1	84	74	0	0	1	0	0
BM1_k141_1031455	0	0	0	0	0	0	0	0	0	0	0	0	12	0	20	21	0	0	0	0	0
BM1_k141_103170	0	0	0	0	0	0	0	0	0	0	0	0	8	0	2	2	0	0	0	0	0
BM1_k141_1031750	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	1	0	0	0	0	0
BM1_k141_1031753	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0
BM1_k141_1031758	0	0	0	0	0	0	0	0	0	0	0	0	12	1	0	0	0	0	0	0	0
BM1_k141_1031802	0	0	0	0	0	0	0	0	0	0	0	0	18	2	3	1	0	0	0	0	0
BM1_k141_1031969	0	0	0	0	0	0	0	0	0	0	0	0	4	0	8	7	0	0	0	0	0
BM1_k141_1032293	0	0	0	0	0	0	0	0	0	0	0	0	9	0	2	4	0	0	0	0	0
BM1_k141_1032537	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0
BM1_k141_1032779	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
BM1_k141_1032793	0	0	0	0	0	0	0	0	0	0	0	0	35	22	86	3	0	0	0	0	0
BM1_k141_1032831	0	0	0	0	0	0	0	0	0	0	0	0	162	4	218	253	0	0	0	0	0
BM1_k141_1032872	0	0	0	0	0	0	0	0	0	0	0	0	22	0	3	4	0	0	0	0	0
BM1_k141_1032972	0	0	0	0	0	0	0	0	0	0	0	0	30	8	6	10	0	0	0	0	0
BM1_k141_1033078	0	0	0	0	0	0	0	0	0	0	0	0	7	0	7	0	0	0	0	0	0
BM1_k141_1033348	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	13	0	0	0	0	0
BM1_k141_1033429	0	0	0	0	0	0	0	0	0	0	0	0	36	0	28	44	0	0	0	0	0
BM1_k141_1033560	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0
BM1_k141_1033684	0	0	0	0	0	0	0	0	0	0	0	0	25	0	36	0	0	0	0	0	0
BM1_k141_1033759	0	0	0	0	0	0	0	0	0	0	0	0	21	2	2	0	0	0	0	0	0
BM1_k141_1034170	0	0	0	0	0	0	0	0	0	0	0	0	23	11	0	0	0	0	0	0	0
BM1_k141_1034218	0	0	0	0	0	0	0	0	0	0	0	0	8	3	0	0	0	0	0	0	0
BM1_k141_1034470	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0
BM1_k141_1034594	0	0	0	0	0	0	0	0	0	0	0	0	9	13	2	12	0	0	0	0	0
BM1_k141_1034660	0	0	0	0	0	0	0	0	0	0	0	0	14	2	6	2	0	0	0	0	0
BM1_k141_1034788	0	0	0	0	0	0	0	0	0	0	0	0	14	66	0	0	0	0	0	0	0
BM1_k141_1035124	0	0	0	0	0	0	0	0	0	0	0	0	42	5	35	10	0	0	0	0	0
